#(id,roadId,roadId,roadId,roadId)
(6, 6039, 6001, -1, 5640)
(22, 5301, 6540, 6627, 6653)
(27, 5266, -1, 5612, 5269)
(48, 6036, 6158, 5731, 5278)
(58, 5906, 5911, 6552, -1)
(99, 5885, 5453, -1, 5608)
(104, 5933, 6539, 5127, 5436)
(105, 6794, 5683, 5130, 6864)
(107, 6939, -1, 6716, 5464)
(111, 6068, 6549, 6687, 6484)
(115, 5481, -1, 6629, 6608)
(120, 5207, 5206, 5519, -1)
(130, 5610, 5469, 5216, 6653)
(141, 5130, 5269, 6188, 6236)
(156, -1, 6947, 6006, 5477)
(171, 5911, 5207, 5326, 5289)
(173, 5795, 5043, -1, 5089)
(174, 5505, 5255, 6081, 6970)
(176, 6510, -1, 6721, 5514)
(179, 6549, 6225, 6047, 5196)
(191, 5831, 6644, 5475, -1)
(199, 5216, 6006, 6119, 6089)
(223, 5535, 5988, 6909, -1)
(224, 6365, -1, 5713, 6433)
(238, 6096, 6742, 5680, 6325)
(264, 5984, 6369, 6234, 5882)
(268, 6796, -1, 6444, 6361)
(277, -1, 6478, 6073, -1)
(303, 5742, 6284, 6329, -1)
(342, 5857, 5846, -1, 6706)
(373, 5921, 5184, 6484, 5175)
(398, 5184, 5792, 5608, 5009)
(413, 5759, 5386, -1, 6583)
(417, -1, -1, 5923, 6794)
(454, 6543, 5306, 5034, 5660)
(456, 5129, 6864, 6805, 5526)
(460, 6472, 5456, -1, 6152)
(463, 5610, -1, 5746, 6531)
(479, 6875, 5714, -1, 6997)
(496, 5436, 6583, -1, 5593)
(506, 6650, 5940, 5133, 5218)
(551, 5988, 5078, 6661, 6830)
(560, -1, 6001, 5218, 5339)
(562, 5742, -1, 5029, 5923)
(569, 5222, 6841, 5076, -1)
(589, -1, 5078, 6722, 5691)
(634, 6661, 6795, 5247, 5278)
(635, 6530, 6387, -1, -1)
(664, 6179, 5892, -1, -1)
(674, 5422, 5680, 5897, -1)
(684, 5459, 6521, 5620, -1)
(693, -1, 6433, 6733, 5940)
(699, 6327, 6830, 5731, -1)
(706, 6875, 6539, 5026, 5984)
(719, 6158, 5116, 5270, 5700)
(740, 6828, 6288, 6568, 6687)
(743, -1, 6810, -1, 6795)
(790, 6510, 5957, 5689, -1)
(841, 5714, 5882, 5306, 5076)
(859, 5846, 6722, 5535, -1)
(868, 6012, 6807, 5133, 6586)
(895, 6234, 6430, -1, 5034)
(932, 6028, 5829, 5593, -1)
(935, 6828, 5196, 5204, 5537)
(970, 5301, 6089, 5464, -1)
(994, 5422, -1, 5745, 6569)
(1009, 5700, 6325, 6569, -1)
