#(id,from,to,speed,planTime, priority, preset)
(98925, 216, 1009, 10, 13, 0, 0)
(81308, 843, 1011, 14, 28, 0, 0)
(42925, 1015, 695, 12, 23, 0, 0)
(29735, 1966, 1974, 10, 1, 0, 0)
(51261, 1183, 65, 4, 5, 0, 0)
(96394, 940, 827, 14, 18, 0, 0)
(17867, 1857, 565, 16, 24, 0, 0)
(51292, 260, 193, 4, 35, 0, 0)
(57960, 1977, 819, 12, 30, 0, 0)
(98813, 843, 1699, 8, 27, 1, 0)
(16347, 1956, 483, 4, 39, 0, 0)
(11473, 1457, 1699, 6, 1, 0, 0)
(80610, 1888, 565, 6, 18, 0, 1)
(70257, 543, 622, 6, 28, 0, 0)
(101399, 1821, 940, 12, 34, 0, 0)
(69731, 915, 201, 6, 9, 0, 1)
(48771, 827, 1431, 8, 42, 0, 0)
(47521, 1966, 1011, 8, 45, 0, 0)
(107033, 904, 768, 10, 33, 0, 0)
(26359, 202, 1009, 16, 35, 0, 1)
(15983, 1888, 565, 8, 34, 0, 0)
(44718, 820, 757, 10, 31, 0, 1)
(60870, 904, 768, 4, 37, 0, 1)
(53618, 613, 751, 8, 43, 0, 0)
(53594, 74, 580, 6, 22, 0, 0)
(39175, 293, 25, 16, 36, 0, 0)
(87165, 969, 1483, 16, 41, 0, 0)
(86373, 149, 613, 16, 1, 0, 0)
(72426, 940, 671, 6, 45, 0, 0)
(49686, 940, 1594, 10, 37, 0, 0)
(70388, 127, 1603, 8, 21, 1, 0)
(70316, 515, 812, 12, 14, 0, 0)
(106890, 963, 1983, 14, 15, 1, 0)
(36642, 29, 1024, 8, 22, 0, 0)
(63022, 6, 1983, 14, 26, 0, 0)
(57731, 1003, 1369, 4, 27, 0, 0)
(44465, 932, 744, 16, 15, 0, 1)
(41315, 778, 812, 14, 26, 0, 1)
(14716, 931, 264, 8, 1, 0, 0)
(87160, 1083, 149, 16, 24, 0, 0)
(47415, 1888, 712, 16, 7, 0, 0)
(63256, 1774, 1006, 12, 32, 1, 1)
(36066, 1278, 759, 10, 6, 0, 0)
(57640, 69, 546, 14, 17, 0, 0)
(63749, 820, 1974, 16, 47, 0, 0)
(10239, 1025, 1483, 14, 6, 0, 0)
(101317, 1500, 1209, 10, 13, 0, 1)
(36798, 917, 167, 14, 16, 0, 0)
(105565, 777, 1320, 6, 35, 1, 0)
(90473, 1180, 865, 16, 48, 0, 0)
(83289, 166, 1857, 8, 39, 0, 0)
(68383, 1699, 831, 16, 22, 0, 0)
(20492, 1487, 55, 8, 12, 0, 1)
(41864, 166, 1011, 14, 34, 0, 1)
(52345, 695, 1784, 14, 47, 0, 0)
(96076, 263, 512, 14, 33, 0, 0)
(99049, 512, 263, 6, 32, 0, 0)
(62376, 1744, 149, 4, 18, 1, 0)
(95619, 757, 201, 10, 22, 0, 0)
(26263, 1827, 1009, 6, 5, 0, 0)
(11973, 812, 167, 8, 41, 0, 0)
(94813, 733, 624, 16, 23, 0, 0)
(27536, 773, 1233, 6, 25, 0, 1)
(28696, 1631, 1006, 8, 46, 0, 0)
(83679, 1024, 222, 4, 29, 0, 0)
(104479, 1483, 532, 16, 15, 0, 0)
(55084, 263, 1011, 14, 21, 0, 1)
(28572, 744, 751, 16, 42, 0, 0)
(74561, 1658, 147, 4, 5, 0, 1)
(37710, 515, 768, 6, 18, 0, 0)
(96906, 1179, 264, 14, 37, 0, 0)
(97508, 865, 512, 12, 16, 0, 0)
