#(id,from,to,speed,planTime, priority, preset)
(51321, 95, 1956, 12, 47, 0, 1)
(37130, 328, 555, 4, 14, 0, 0)
(62944, 521, 1973, 16, 44, 0, 0)
(99784, 1102, 1411, 14, 31, 0, 0)
(44691, 583, 1676, 10, 41, 0, 0)
(82560, 519, 390, 6, 25, 0, 0)
(63153, 1227, 1556, 14, 45, 0, 0)
(109898, 1680, 1970, 16, 17, 0, 0)
(36987, 328, 1024, 10, 25, 0, 0)
(89498, 1820, 583, 10, 33, 0, 0)
(21523, 117, 1265, 12, 49, 0, 0)
(24280, 1416, 1676, 16, 32, 0, 0)
(91443, 1680, 1150, 12, 49, 0, 0)
(57082, 1767, 1676, 14, 3, 0, 0)
(30903, 1265, 687, 16, 33, 0, 0)
(67443, 61, 1265, 10, 22, 0, 0)
(48127, 936, 1441, 10, 46, 0, 0)
(11350, 1416, 1820, 10, 32, 0, 0)
(44013, 1956, 1483, 6, 20, 0, 1)
(49320, 1265, 555, 10, 19, 0, 0)
(20242, 576, 117, 4, 42, 0, 1)
(63900, 1346, 1191, 16, 21, 1, 0)
(14989, 519, 1973, 4, 39, 0, 1)
(26786, 1035, 1973, 16, 22, 0, 0)
(33013, 183, 521, 12, 29, 0, 0)
(89984, 555, 576, 12, 37, 0, 1)
(67322, 1411, 1973, 8, 28, 1, 0)
(48230, 1024, 858, 6, 40, 0, 0)
(92192, 1139, 1346, 16, 22, 0, 0)
(18072, 183, 1227, 16, 48, 0, 0)
(97629, 1413, 834, 4, 19, 0, 0)
(105913, 1538, 539, 6, 34, 0, 0)
(69904, 1556, 1651, 6, 4, 0, 0)
(61977, 1719, 1441, 6, 32, 1, 0)
(107466, 936, 1689, 6, 36, 0, 0)
(92576, 431, 1035, 10, 25, 0, 0)
(83282, 77, 1846, 14, 28, 0, 0)
(15924, 583, 1824, 12, 19, 1, 0)
(55472, 1150, 1411, 12, 33, 0, 0)
(106508, 834, 1416, 12, 39, 0, 0)
(45601, 544, 202, 16, 24, 0, 0)
(83652, 117, 1411, 12, 16, 0, 0)
(72789, 858, 1024, 8, 47, 0, 0)
(55754, 18, 1610, 8, 2, 0, 0)
(99065, 1538, 539, 6, 15, 0, 0)
(13107, 1719, 495, 10, 30, 0, 0)
(100412, 1346, 1347, 8, 48, 0, 0)
(56200, 1973, 576, 14, 15, 0, 0)
(13162, 519, 1933, 12, 12, 0, 0)
(39841, 1689, 1236, 4, 33, 0, 1)
(98230, 1483, 1933, 10, 18, 0, 0)
(97502, 495, 521, 6, 42, 0, 0)
(106017, 18, 394, 14, 6, 0, 0)
(61741, 1483, 486, 6, 13, 0, 0)
(22566, 1824, 1483, 8, 14, 0, 0)
(36365, 1846, 1556, 8, 45, 0, 1)
(37633, 976, 1297, 10, 22, 0, 0)
(28434, 1719, 1346, 16, 21, 0, 0)
(74447, 1188, 1767, 4, 35, 1, 1)
(50434, 1441, 18, 6, 46, 0, 0)
(25416, 1236, 61, 8, 18, 0, 0)
(106886, 576, 1748, 10, 48, 0, 0)
(94371, 1933, 544, 16, 45, 0, 0)
(77230, 1933, 1650, 12, 47, 0, 0)
(50645, 555, 1483, 12, 30, 0, 0)
(76614, 1610, 1102, 6, 37, 0, 0)
(43837, 1481, 757, 16, 35, 1, 0)
(21425, 1227, 1024, 8, 12, 0, 0)
(45548, 583, 1538, 8, 48, 0, 0)
(46276, 1556, 1538, 16, 17, 0, 0)
(24472, 328, 1160, 6, 46, 0, 0)
(51391, 1483, 486, 6, 17, 0, 0)
(29855, 555, 1483, 4, 43, 0, 0)
(12547, 1024, 1188, 16, 32, 0, 0)
(46810, 1610, 390, 14, 40, 0, 0)
(17132, 1188, 497, 12, 36, 0, 0)
(68040, 1767, 486, 12, 24, 0, 0)
(67945, 328, 18, 12, 35, 0, 0)
(56116, 1191, 95, 8, 3, 0, 0)
(85521, 137, 328, 8, 3, 0, 1)
(21349, 1411, 1778, 16, 26, 0, 0)
(74274, 1191, 576, 14, 13, 0, 0)
(58746, 834, 1973, 4, 17, 0, 0)
(30266, 1150, 98, 10, 27, 1, 0)
(23645, 519, 431, 4, 30, 1, 0)
(15459, 183, 544, 14, 1, 0, 0)
(18910, 1411, 1973, 6, 9, 0, 0)
(75760, 850, 1767, 10, 32, 0, 0)
(75790, 1416, 1651, 6, 5, 1, 0)
(19240, 117, 152, 16, 36, 0, 0)
(40622, 77, 95, 16, 20, 0, 0)
(47957, 556, 1676, 14, 35, 0, 0)
(96653, 1347, 1411, 8, 29, 0, 0)
(44155, 480, 1035, 10, 18, 0, 0)
(35060, 1538, 1160, 14, 27, 0, 0)
(84085, 1131, 1680, 4, 7, 0, 0)
(45811, 152, 1411, 10, 29, 0, 1)
(14603, 1483, 1139, 14, 3, 1, 1)
(64527, 1160, 1217, 8, 25, 0, 0)
(30656, 556, 1820, 14, 26, 1, 0)
(96388, 497, 1748, 6, 39, 0, 0)
(62681, 1748, 1411, 10, 42, 0, 0)
(20313, 1411, 117, 8, 2, 1, 0)
(74241, 850, 1413, 8, 20, 0, 0)
(100819, 539, 497, 6, 24, 0, 0)
(74176, 18, 1970, 4, 4, 0, 0)
(52871, 77, 936, 16, 40, 0, 0)
(44169, 152, 1973, 12, 42, 0, 1)
(61419, 183, 1651, 10, 38, 0, 0)
(19077, 1416, 1689, 10, 38, 0, 0)
(17797, 1346, 539, 4, 23, 0, 1)
(88374, 1024, 1676, 8, 18, 0, 0)
(79454, 183, 858, 4, 2, 0, 0)
(88174, 1347, 394, 6, 9, 0, 0)
(11622, 1763, 850, 14, 37, 0, 0)
(27347, 576, 1973, 12, 31, 0, 0)
(31281, 1416, 1820, 8, 5, 0, 0)
(27558, 497, 834, 10, 4, 0, 0)
(54420, 1719, 1131, 4, 13, 0, 1)
(87601, 486, 1483, 16, 7, 0, 0)
(107552, 1347, 850, 12, 23, 0, 1)
(108668, 1970, 555, 4, 10, 0, 1)
(108740, 1556, 1217, 16, 38, 1, 0)
(106774, 1650, 1933, 4, 28, 0, 0)
(81297, 850, 1680, 6, 17, 0, 1)
(95175, 98, 1846, 6, 40, 0, 0)
(17308, 1956, 1035, 8, 41, 0, 0)
(92413, 999, 1973, 6, 3, 0, 0)
(22310, 1413, 1778, 10, 34, 0, 1)
(32984, 1191, 1346, 16, 6, 0, 0)
(49549, 1024, 834, 10, 23, 0, 0)
(32087, 1610, 1778, 16, 8, 0, 0)
(77217, 1160, 1820, 4, 29, 0, 0)
(16092, 556, 521, 6, 44, 0, 0)
(94928, 480, 936, 14, 34, 0, 0)
(75030, 61, 1131, 6, 47, 0, 0)
(109047, 1970, 1680, 6, 10, 0, 0)
(95506, 95, 555, 8, 21, 0, 0)
(80130, 1689, 936, 12, 13, 0, 0)
(62479, 76, 1680, 14, 23, 0, 1)
(85515, 544, 77, 10, 20, 0, 0)
(64001, 1139, 152, 10, 45, 1, 0)
(20163, 1347, 1346, 14, 35, 0, 1)
(15098, 579, 1820, 8, 14, 0, 0)
(67988, 579, 76, 8, 43, 0, 0)
(59838, 1650, 1748, 16, 10, 1, 1)
(107205, 1650, 555, 4, 38, 0, 0)
(99479, 858, 98, 8, 43, 1, 0)
(93686, 61, 1102, 8, 35, 0, 0)
(10816, 1956, 1411, 4, 32, 0, 0)
(40175, 1483, 390, 8, 45, 0, 0)
(31414, 1236, 834, 8, 27, 0, 0)
(69219, 18, 1846, 16, 28, 1, 0)
(25287, 1610, 555, 10, 27, 0, 0)
(16670, 757, 1024, 8, 34, 0, 0)
(37696, 1763, 858, 14, 3, 0, 0)
(96428, 98, 1689, 14, 27, 0, 1)
(62051, 687, 1538, 10, 22, 1, 0)
(64031, 976, 1973, 16, 37, 0, 0)
(17024, 1676, 1556, 12, 35, 1, 1)
(92826, 390, 1024, 16, 29, 0, 0)
(28034, 202, 1846, 12, 6, 0, 0)
(54909, 1191, 521, 12, 46, 0, 0)
(101347, 1970, 1413, 12, 1, 0, 0)
(10065, 137, 858, 14, 2, 0, 0)
(68438, 1035, 1719, 12, 13, 0, 0)
(87178, 486, 98, 8, 14, 0, 0)
(28236, 1973, 1689, 8, 22, 0, 0)
(37916, 850, 1416, 4, 6, 0, 1)
(92321, 544, 1413, 16, 27, 0, 0)
(75756, 850, 1131, 4, 49, 0, 0)
(37344, 394, 137, 16, 38, 0, 0)
(39441, 328, 98, 10, 47, 0, 0)
(45207, 1719, 757, 12, 25, 0, 0)
(55523, 1236, 1676, 16, 16, 0, 0)
(72215, 544, 61, 10, 21, 0, 0)
(43438, 576, 1748, 16, 35, 0, 0)
(91167, 1820, 1160, 8, 36, 1, 0)
(106020, 1719, 1265, 12, 32, 0, 0)
(86187, 495, 1748, 10, 2, 0, 0)
(50467, 480, 1719, 6, 21, 0, 0)
(36323, 1956, 1610, 12, 11, 0, 0)
(63818, 1820, 583, 4, 29, 0, 0)
(24059, 183, 1824, 12, 33, 0, 0)
(61895, 1885, 544, 10, 39, 0, 0)
(12214, 1346, 555, 6, 48, 1, 0)
(44323, 1846, 583, 16, 2, 0, 1)
(50817, 1767, 544, 6, 39, 0, 0)
(92152, 1150, 1024, 8, 18, 0, 0)
(20510, 497, 757, 12, 48, 0, 0)
(25324, 1970, 98, 10, 29, 0, 0)
(72066, 1131, 183, 6, 11, 0, 0)
(90757, 858, 1767, 4, 11, 0, 0)
(42942, 1483, 555, 8, 24, 0, 0)
(16841, 1973, 1689, 16, 44, 1, 0)
(14420, 1933, 76, 16, 35, 0, 0)
(13088, 497, 1846, 4, 9, 0, 0)
(45815, 1024, 834, 16, 31, 0, 0)
(87043, 1748, 1411, 12, 42, 0, 1)
(24412, 1131, 579, 4, 26, 1, 0)
(42135, 1413, 486, 16, 7, 0, 0)
(58639, 137, 1676, 12, 6, 1, 0)
(90141, 556, 521, 8, 31, 0, 0)
(19750, 1651, 1112, 6, 29, 0, 0)
(93745, 1441, 1497, 4, 35, 1, 0)
(58698, 1139, 519, 4, 34, 0, 0)
(79482, 1846, 183, 4, 38, 0, 0)
(63170, 1035, 1497, 6, 2, 0, 0)
(20154, 1347, 328, 10, 13, 0, 1)
(106152, 1265, 1680, 16, 48, 0, 0)
(82993, 1973, 1346, 6, 39, 0, 0)
(98931, 1265, 1191, 14, 19, 1, 0)
(40116, 1651, 497, 6, 1, 0, 0)
(101670, 1820, 1160, 8, 35, 0, 0)
(105035, 1650, 1719, 6, 6, 0, 0)
(29925, 1933, 1650, 6, 16, 0, 1)
(102532, 1820, 583, 10, 41, 0, 0)
(57245, 117, 1441, 14, 46, 0, 0)
(93128, 486, 1265, 14, 22, 0, 0)
(46504, 1160, 1227, 12, 19, 1, 0)
(94106, 1824, 936, 6, 46, 0, 0)
(47215, 1846, 1556, 6, 8, 0, 1)
(59613, 936, 152, 10, 38, 0, 0)
(51078, 1846, 61, 8, 13, 0, 0)
(60448, 858, 556, 8, 43, 0, 0)
(25696, 1297, 1160, 10, 14, 0, 0)
(40880, 1846, 1481, 14, 47, 0, 0)
(55738, 1441, 1680, 4, 24, 0, 0)
(100295, 539, 858, 4, 35, 0, 0)
(59148, 1610, 1191, 16, 7, 0, 1)
(56276, 1416, 1217, 16, 33, 0, 0)
(34766, 544, 98, 6, 18, 0, 0)
(15697, 1970, 1719, 6, 1, 0, 0)
(91503, 1236, 579, 8, 14, 0, 0)
(28204, 999, 1846, 6, 46, 0, 0)
(84915, 1556, 486, 12, 33, 0, 0)
(105782, 757, 497, 10, 48, 0, 0)
(104585, 18, 486, 10, 12, 0, 0)
(85190, 579, 1131, 14, 45, 0, 0)
(34967, 202, 1297, 6, 47, 0, 0)
