#(id,roadId,roadId,roadId,roadId)
(18, 5887, -1, 5311, 6741)
(61, 6852, 6224, 5247, 6480)
(76, 6754, 6576, 5975, 5465)
(77, 6634, 5588, 5610, 5148)
(95, 6054, -1, 6703, 6576)
(98, 6940, 6090, 6788, 6732)
(117, 6617, 5657, 6253, 5973)
(137, 6230, -1, 5887, 6849)
(152, 6368, 5605, 6717, 6942)
(183, 6324, 6597, 6898, 6897)
(202, 5233, 6160, 5797, 6211)
(328, 6601, 5144, 6072, 6623)
(390, 6111, 5050, 5013, 5201)
(394, 5844, 6121, 6717, 5144)
(431, 6901, 5464, 5485, 6399)
(480, 5700, 5148, 6602, 5995)
(486, 5649, 5836, 6669, 5916)
(495, 6726, 5067, 5653, 6634)
(497, 5793, 6327, 5117, 6493)
(519, 6467, 5165, 5289, 6351)
(521, 6054, 5965, 5030, -1)
(539, -1, 5218, 5739, 5368)
(544, 6344, 6959, -1, -1)
(555, 6998, 6617, 6127, -1)
(556, 5610, 6597, 6852, 5142)
(576, 5207, 5793, 6530, 5975)
(579, -1, 5368, 5247, 6816)
(583, 6224, 6324, 6176, 5806)
(687, 6578, 6480, 5739, 5464)
(757, 6696, 6524, 6010, 5022)
(834, 5519, 6601, 6524, 6336)
(850, -1, 5455, 6696, 5845)
(858, 6569, -1, 6814, 6462)
(936, -1, -1, 5393, 5270)
(976, 5588, 5641, 5233, 6898)
(999, 5685, 5641, 5653, 6368)
(1024, 6788, 5393, -1, 5956)
(1035, 6685, 5965, 6754, 5165)
(1102, 5092, 5080, 6364, 5013)
(1112, 6816, 5806, 5860, -1)
(1131, -1, 6318, 5207, 6703)
(1139, 6448, 5911, 6901, 6253)
(1150, 6669, 6726, 5700, 6111)
(1160, 5270, 6090, 5311, -1)
(1188, 6977, 6683, 6850, 5450)
(1191, 5485, 5218, -1, 6785)
(1217, 6294, 6508, 5493, 5340)
(1227, 5320, 6364, 5367, 5445)
(1236, 6230, 6327, 6318, -1)
(1265, 6685, 6092, -1, 5895)
(1297, 6483, 6191, -1, 5845)
(1346, 5289, 5465, 6905, 6121)
(1347, 5275, 5241, 6998, -1)
(1411, 5895, -1, -1, 5030)
(1413, 6940, 5683, 6642, 6741)
(1416, 5797, 5117, 6849, 6642)
(1441, 5788, 6351, 5844, 5519)
(1481, 5685, 5323, 6493, 6160)
(1483, 6092, 6467, 6621, -1)
(1497, 5241, 5092, 6676, 5657)
(1538, 6865, 5080, 5275, -1)
(1556, 5860, 6541, 5956, -1)
(1610, -1, 6621, 5788, 5827)
(1650, 6905, 6530, 5323, 6942)
(1651, 5450, 6483, 5022, 6294)
(1676, 6814, -1, 6959, 6683)
(1680, 6127, 5130, 5663, -1)
(1689, 6336, 5455, -1, 5827)
(1719, 5663, 5039, -1, -1)
(1748, 5973, 6399, 6287, 5130)
(1763, 5303, 6897, 6211, 5683)
(1767, 5303, 6732, 6541, 6176)
(1778, -1, 6569, 5367, 6865)
(1820, 5445, 6462, 6977, 5340)
(1824, 5201, 5320, 5493, 5916)
(1846, 6344, -1, 6191, 6850)
(1885, 5836, 6072, 5605, 5067)
(1933, 5911, 6602, 5142, 6578)
(1956, 6676, 5050, 5995, 6448)
(1970, 6508, 6010, 6623, 5649)
(1973, 6287, 6785, -1, 5039)
