#(id,length,speed,channel,from,to,isDuplex)
(5000, 24, 15, 1, 212, 1807, 1)
(5026, 40, 10, 2, 331, 566, 1)
(5090, 24, 12, 4, 1422, 296, 1)
(5105, 36, 15, 2, 1338, 329, 1)
(5107, 36, 8, 4, 930, 1561, 0)
(5111, 24, 12, 2, 534, 200, 1)
(5131, 24, 8, 4, 70, 1331, 0)
(5146, 20, 15, 4, 16, 274, 1)
(5150, 24, 15, 2, 1899, 930, 1)
(5155, 36, 10, 3, 1331, 1693, 1)
(5203, 24, 15, 2, 557, 1392, 1)
(5223, 30, 10, 3, 1859, 809, 1)
(5225, 24, 15, 2, 243, 1806, 1)
(5229, 40, 10, 4, 15, 1344, 1)
(5239, 30, 8, 4, 200, 1980, 1)
(5268, 36, 8, 4, 687, 358, 1)
(5271, 30, 8, 4, 117, 1168, 1)
(5286, 20, 15, 2, 1859, 1453, 1)
(5305, 24, 12, 3, 808, 1364, 1)
(5317, 40, 12, 4, 427, 663, 1)
(5339, 40, 10, 1, 102, 898, 0)
(5340, 30, 12, 4, 1364, 933, 1)
(5351, 24, 10, 3, 1805, 188, 1)
(5397, 30, 15, 3, 838, 982, 1)
(5405, 30, 10, 1, 1812, 358, 1)
(5424, 20, 10, 1, 102, 566, 1)
(5438, 20, 8, 4, 604, 798, 1)
(5440, 40, 12, 4, 35, 930, 1)
(5455, 20, 8, 2, 358, 117, 1)
(5465, 30, 10, 1, 1612, 770, 1)
(5468, 36, 15, 3, 770, 921, 1)
(5471, 36, 10, 3, 575, 1812, 1)
(5481, 40, 10, 3, 1212, 1379, 1)
(5489, 30, 12, 1, 798, 15, 1)
(5493, 36, 15, 1, 243, 1331, 1)
(5502, 20, 12, 3, 534, 1561, 1)
(5550, 20, 10, 3, 1806, 1525, 1)
(5558, 24, 12, 4, 495, 1628, 1)
(5559, 30, 15, 4, 1628, 1899, 1)
(5562, 30, 8, 2, 540, 768, 1)
(5566, 20, 10, 4, 262, 1379, 1)
(5570, 24, 10, 2, 617, 15, 1)
(5579, 30, 10, 2, 999, 898, 1)
(5591, 40, 15, 2, 1573, 1364, 1)
(5593, 20, 12, 1, 1806, 1565, 1)
(5619, 24, 12, 1, 74, 604, 1)
(5649, 24, 8, 4, 808, 982, 1)
(5664, 20, 8, 4, 427, 274, 1)
(5669, 20, 12, 4, 663, 808, 1)
(5700, 24, 10, 1, 982, 933, 1)
(5709, 20, 15, 1, 1142, 35, 1)
(5713, 36, 15, 2, 809, 404, 1)
(5760, 24, 15, 2, 557, 575, 1)
(5767, 24, 10, 3, 566, 1142, 1)
(5768, 36, 15, 2, 1363, 1212, 1)
(5785, 30, 12, 2, 1525, 212, 1)
(5803, 40, 15, 1, 1565, 1252, 1)
(5821, 36, 12, 2, 663, 1573, 1)
(5826, 30, 15, 3, 1331, 1565, 1)
(5834, 30, 10, 4, 74, 1475, 1)
(5836, 24, 10, 2, 35, 1806, 1)
(5839, 36, 15, 1, 809, 1357, 1)
(5880, 30, 12, 3, 838, 1636, 1)
(5909, 36, 10, 2, 117, 573, 1)
(5912, 40, 10, 1, 404, 102, 1)
(5920, 40, 10, 3, 188, 1899, 1)
(5960, 30, 8, 4, 599, 1088, 1)
(5970, 36, 15, 4, 1475, 617, 1)
(5975, 40, 12, 3, 575, 534, 1)
(5983, 20, 10, 1, 329, 495, 1)
(5995, 20, 15, 3, 921, 838, 1)
(6000, 20, 8, 3, 1357, 102, 1)
(6007, 36, 15, 1, 404, 999, 1)
(6029, 24, 8, 4, 274, 1573, 1)
(6043, 30, 12, 3, 798, 1705, 1)
(6046, 24, 10, 2, 362, 74, 1)
(6050, 36, 8, 3, 70, 604, 1)
(6055, 24, 15, 3, 1807, 1212, 0)
(6056, 30, 8, 4, 331, 599, 1)
(6058, 30, 10, 2, 1084, 770, 1)
(6066, 24, 15, 3, 1344, 1422, 1)
(6079, 24, 10, 3, 573, 427, 1)
(6083, 30, 15, 2, 573, 16, 1)
(6118, 36, 10, 2, 296, 1973, 1)
(6148, 40, 12, 2, 1084, 262, 1)
(6152, 36, 12, 4, 604, 1693, 1)
(6161, 36, 15, 1, 1453, 1338, 1)
(6165, 30, 12, 1, 1612, 427, 1)
(6174, 30, 8, 4, 1973, 1636, 1)
(6209, 30, 10, 4, 982, 1303, 1)
(6236, 20, 10, 4, 1168, 16, 1)
(6272, 40, 10, 3, 212, 1084, 1)
(6311, 40, 12, 1, 898, 1142, 1)
(6348, 36, 8, 3, 1693, 1705, 1)
(6403, 20, 10, 3, 1453, 404, 1)
(6445, 36, 10, 2, 1392, 1812, 1)
(6457, 20, 8, 3, 599, 362, 1)
(6461, 24, 12, 3, 1475, 798, 1)
(6511, 24, 15, 3, 1379, 838, 1)
(6513, 20, 12, 3, 362, 70, 1)
(6523, 36, 8, 4, 770, 663, 0)
(6527, 20, 12, 1, 687, 540, 1)
(6547, 20, 12, 3, 566, 1088, 1)
(6555, 20, 10, 2, 898, 188, 1)
(6556, 36, 8, 2, 188, 35, 1)
(6570, 40, 15, 1, 921, 808, 1)
(6579, 20, 10, 4, 933, 1675, 1)
(6600, 40, 8, 3, 1561, 1980, 1)
(6610, 30, 10, 4, 1525, 330, 1)
(6613, 20, 15, 3, 1812, 200, 1)
(6622, 40, 15, 4, 1252, 1363, 1)
(6639, 36, 8, 4, 1805, 1628, 1)
(6643, 20, 10, 2, 1379, 1973, 1)
(6664, 30, 15, 1, 768, 1168, 1)
(6666, 20, 12, 2, 1565, 212, 1)
(6681, 24, 12, 2, 1807, 262, 1)
(6686, 30, 12, 1, 1980, 573, 1)
(6692, 24, 12, 4, 358, 768, 1)
(6705, 30, 15, 2, 930, 1525, 1)
(6716, 20, 10, 4, 1899, 534, 1)
(6720, 36, 10, 2, 1363, 1422, 1)
(6735, 20, 15, 2, 1980, 1612, 1)
(6736, 40, 15, 2, 1636, 1303, 1)
(6748, 20, 8, 4, 1628, 575, 1)
(6776, 30, 10, 2, 1338, 999, 1)
(6799, 36, 12, 2, 1693, 1252, 1)
(6805, 40, 10, 3, 1705, 1363, 1)
(6806, 40, 15, 3, 330, 1084, 1)
(6810, 20, 8, 1, 1142, 243, 1)
(6815, 20, 10, 3, 495, 557, 1)
(6821, 24, 10, 2, 1303, 1675, 1)
(6856, 36, 10, 3, 1088, 70, 1)
(6863, 30, 12, 4, 999, 1805, 1)
(6871, 40, 15, 2, 1252, 1807, 1)
(6875, 40, 15, 3, 330, 1612, 1)
(6884, 36, 8, 4, 1088, 243, 1)
(6917, 30, 10, 2, 262, 921, 1)
(6922, 36, 8, 4, 1212, 296, 1)
(6927, 30, 15, 2, 1392, 687, 1)
(6939, 30, 10, 4, 200, 117, 1)
(6951, 24, 8, 1, 329, 1805, 1)
(6981, 40, 8, 3, 1357, 331, 1)
(6986, 30, 10, 2, 1561, 330, 1)
(6989, 30, 15, 2, 1705, 1344, 1)
