#(id,length,speed,channel,from,to,isDuplex)
(5013, 50, 10, 1, 1133, 1837, 1)
(5015, 50, 15, 5, 335, 352, 1)
(5023, 40, 15, 2, 112, 421, 1)
(5029, 50, 10, 2, 303, 48, 1)
(5051, 24, 10, 3, 1130, 1675, 0)
(5054, 20, 8, 1, 915, 1608, 1)
(5079, 30, 15, 2, 1911, 1459, 1)
(5088, 36, 15, 6, 1425, 1913, 1)
(5093, 40, 15, 1, 112, 96, 1)
(5096, 20, 10, 3, 376, 375, 1)
(5105, 24, 12, 2, 1337, 1696, 1)
(5107, 24, 12, 1, 1992, 1084, 1)
(5118, 40, 10, 6, 800, 1575, 1)
(5137, 24, 15, 5, 1970, 352, 1)
(5149, 20, 15, 1, 1844, 1760, 1)
(5178, 40, 10, 5, 259, 371, 1)
(5189, 24, 10, 4, 1459, 132, 1)
(5196, 30, 10, 3, 10, 90, 1)
(5204, 50, 15, 1, 1490, 269, 1)
(5231, 30, 8, 5, 651, 203, 1)
(5246, 40, 15, 2, 807, 1765, 1)
(5248, 20, 8, 3, 690, 1133, 1)
(5257, 24, 15, 6, 1600, 800, 1)
(5262, 40, 10, 6, 1245, 710, 1)
(5267, 50, 8, 6, 74, 1673, 1)
(5271, 40, 12, 1, 651, 915, 1)
(5274, 40, 12, 4, 1675, 386, 1)
(5275, 20, 10, 5, 391, 152, 1)
(5280, 40, 10, 5, 1696, 179, 1)
(5283, 30, 15, 3, 69, 487, 1)
(5292, 40, 15, 2, 111, 989, 1)
(5314, 40, 12, 3, 1240, 1970, 1)
(5321, 24, 10, 1, 96, 100, 1)
(5329, 20, 12, 5, 979, 904, 1)
(5335, 20, 10, 2, 979, 153, 1)
(5346, 50, 12, 6, 1575, 807, 0)
(5349, 24, 12, 3, 421, 100, 1)
(5372, 40, 8, 2, 289, 520, 0)
(5375, 20, 8, 1, 371, 247, 1)
(5385, 30, 15, 6, 1846, 168, 1)
(5386, 20, 12, 4, 1651, 776, 1)
(5390, 20, 12, 4, 1261, 1424, 1)
(5399, 20, 12, 2, 1575, 1153, 1)
(5403, 20, 10, 5, 352, 837, 1)
(5407, 20, 8, 3, 898, 851, 1)
(5418, 20, 10, 3, 989, 269, 1)
(5420, 50, 10, 5, 1675, 297, 1)
(5424, 36, 12, 3, 1743, 405, 1)
(5443, 40, 8, 6, 428, 651, 1)
(5461, 40, 12, 1, 419, 69, 1)
(5471, 40, 10, 4, 470, 421, 1)
(5473, 50, 10, 3, 837, 1805, 1)
(5486, 20, 10, 2, 746, 450, 1)
(5495, 30, 8, 2, 1393, 964, 1)
(5509, 40, 10, 4, 90, 1340, 1)
(5526, 40, 10, 2, 179, 112, 1)
(5544, 20, 10, 4, 1451, 280, 1)
(5549, 24, 8, 2, 391, 1760, 1)
(5552, 36, 8, 3, 1218, 800, 1)
(5556, 24, 12, 5, 189, 332, 1)
(5592, 40, 8, 4, 1393, 1992, 0)
(5597, 20, 10, 2, 450, 1935, 1)
(5634, 30, 12, 6, 800, 48, 1)
(5640, 40, 8, 5, 710, 1011, 1)
(5647, 50, 12, 2, 397, 1130, 1)
(5649, 30, 10, 5, 74, 332, 1)
(5650, 24, 8, 3, 1424, 690, 1)
(5656, 40, 15, 5, 332, 1242, 1)
(5659, 24, 15, 2, 1651, 1393, 1)
(5680, 30, 12, 4, 744, 1600, 1)
(5687, 50, 8, 2, 152, 345, 1)
(5695, 30, 10, 3, 109, 554, 1)
(5699, 30, 8, 3, 1011, 1320, 1)
(5700, 30, 12, 1, 419, 731, 1)
(5703, 20, 10, 1, 1765, 1815, 1)
(5716, 36, 10, 1, 1836, 1960, 1)
(5717, 40, 8, 6, 1320, 493, 1)
(5718, 30, 8, 1, 1913, 10, 1)
(5725, 50, 15, 5, 90, 1218, 1)
(5748, 36, 8, 1, 332, 132, 1)
(5771, 36, 15, 5, 1108, 1758, 0)
(5777, 24, 15, 6, 439, 111, 0)
(5779, 30, 10, 2, 269, 505, 1)
(5781, 20, 15, 1, 924, 857, 1)
(5788, 36, 15, 1, 679, 857, 1)
(5803, 20, 12, 6, 1302, 450, 1)
(5805, 24, 8, 4, 776, 1992, 1)
(5807, 50, 15, 1, 1222, 1875, 1)
(5809, 30, 12, 5, 1528, 1408, 1)
(5817, 50, 12, 2, 69, 979, 0)
(5844, 20, 12, 6, 731, 487, 1)
(5870, 30, 8, 5, 1969, 1084, 1)
(5877, 36, 15, 2, 1804, 428, 1)
(5879, 30, 8, 3, 554, 168, 1)
(5893, 50, 15, 6, 487, 904, 1)
(5894, 36, 15, 1, 132, 1281, 1)
(5906, 36, 12, 4, 520, 1960, 1)
(5922, 40, 15, 2, 857, 746, 1)
(5923, 50, 15, 4, 218, 504, 1)
(5931, 30, 12, 2, 1836, 1675, 1)
(5942, 40, 8, 2, 1935, 259, 1)
(5955, 30, 15, 5, 898, 1302, 1)
(5973, 24, 12, 3, 1033, 1451, 1)
(5978, 20, 10, 4, 851, 321, 1)
(5981, 36, 15, 2, 179, 470, 1)
(5998, 40, 8, 5, 504, 841, 1)
(6008, 20, 8, 5, 233, 111, 1)
(6014, 30, 10, 6, 1083, 935, 1)
(6016, 50, 8, 5, 807, 386, 1)
(6017, 36, 12, 5, 470, 1320, 1)
(6035, 50, 10, 5, 203, 1083, 1)
(6042, 40, 10, 6, 1408, 380, 1)
(6048, 36, 12, 2, 371, 419, 1)
(6059, 50, 12, 3, 1425, 471, 1)
(6066, 24, 12, 6, 1320, 69, 1)
(6067, 40, 8, 1, 1846, 1393, 1)
(6078, 50, 15, 3, 841, 439, 1)
(6088, 50, 12, 1, 964, 1108, 1)
(6103, 30, 8, 4, 1130, 807, 1)
(6112, 24, 8, 3, 1672, 380, 1)
(6117, 30, 10, 4, 1970, 233, 1)
(6120, 20, 15, 3, 100, 240, 1)
(6124, 36, 12, 5, 1906, 1673, 1)
(6137, 40, 15, 3, 915, 744, 1)
(6177, 50, 10, 4, 1108, 97, 1)
(6179, 30, 10, 4, 1033, 96, 1)
(6187, 24, 10, 2, 1261, 1281, 1)
(6188, 20, 8, 6, 1337, 1743, 1)
(6197, 20, 8, 2, 1410, 1844, 1)
(6223, 20, 12, 3, 428, 471, 1)
(6236, 50, 10, 3, 152, 1240, 0)
(6240, 36, 12, 1, 746, 989, 1)
(6247, 50, 15, 2, 25, 679, 1)
(6252, 50, 10, 2, 1302, 321, 1)
(6253, 40, 15, 3, 1608, 935, 1)
(6271, 36, 12, 2, 345, 1970, 1)
(6288, 24, 8, 4, 679, 898, 1)
(6290, 40, 10, 2, 397, 1836, 1)
(6295, 30, 12, 3, 1743, 1424, 1)
(6298, 30, 8, 2, 1805, 1261, 1)
(6299, 24, 8, 4, 386, 674, 1)
(6301, 30, 8, 4, 297, 376, 1)
(6304, 40, 8, 6, 690, 1451, 1)
(6308, 30, 12, 1, 1133, 90, 0)
(6317, 24, 8, 3, 48, 1153, 1)
(6326, 50, 10, 3, 1218, 1985, 1)
(6330, 40, 8, 6, 1424, 1033, 0)
(6331, 40, 8, 6, 247, 731, 1)
(6332, 40, 10, 2, 1844, 218, 1)
(6334, 50, 8, 6, 168, 345, 1)
(6345, 24, 10, 3, 405, 112, 1)
(6348, 30, 12, 2, 1758, 1911, 1)
(6355, 40, 10, 5, 10, 744, 1)
(6359, 36, 12, 5, 710, 371, 1)
(6365, 20, 8, 4, 289, 1905, 1)
(6366, 50, 12, 4, 97, 837, 1)
(6394, 20, 10, 6, 100, 1755, 1)
(6395, 20, 8, 3, 520, 1528, 1)
(6403, 36, 10, 1, 504, 924, 1)
(6405, 24, 8, 3, 380, 375, 1)
(6414, 40, 15, 1, 1905, 1528, 1)
(6418, 50, 15, 1, 1992, 1108, 1)
(6421, 40, 10, 3, 31, 189, 1)
(6425, 30, 15, 4, 240, 289, 1)
(6427, 24, 12, 6, 935, 303, 1)
(6429, 40, 15, 6, 1911, 1805, 1)
(6443, 30, 15, 5, 1608, 1600, 0)
(6452, 40, 8, 6, 1755, 153, 0)
(6453, 36, 8, 3, 1985, 1130, 1)
(6458, 24, 10, 2, 1242, 1425, 1)
(6464, 24, 12, 4, 1906, 766, 1)
(6465, 40, 8, 5, 1240, 841, 1)
(6467, 40, 8, 3, 505, 1011, 1)
(6469, 24, 15, 1, 335, 97, 1)
(6487, 36, 8, 3, 600, 1408, 1)
(6488, 20, 12, 1, 471, 915, 1)
(6492, 30, 12, 2, 269, 179, 1)
(6513, 24, 15, 2, 841, 233, 1)
(6517, 30, 10, 1, 857, 1302, 1)
(6523, 50, 12, 2, 1459, 1261, 1)
(6530, 50, 12, 1, 1935, 710, 1)
(6537, 30, 12, 3, 1281, 1913, 1)
(6540, 20, 15, 3, 1084, 31, 1)
(6542, 36, 10, 2, 776, 1969, 1)
(6543, 40, 12, 5, 203, 1608, 1)
(6549, 20, 12, 6, 218, 25, 1)
(6556, 40, 12, 1, 1805, 1743, 1)
(6568, 50, 12, 5, 1804, 1875, 1)
(6578, 50, 8, 3, 1084, 1758, 1)
(6580, 24, 12, 5, 1985, 1575, 1)
(6581, 50, 10, 5, 493, 979, 1)
(6623, 36, 15, 4, 1242, 428, 0)
(6644, 36, 15, 2, 1960, 297, 1)
(6659, 30, 12, 6, 1153, 1765, 1)
(6664, 50, 12, 5, 111, 1490, 1)
(6670, 24, 12, 4, 240, 604, 1)
(6673, 36, 10, 6, 1245, 505, 0)
(6678, 20, 15, 5, 1673, 1242, 1)
(6695, 36, 12, 6, 604, 1836, 1)
(6698, 20, 8, 3, 1960, 1672, 0)
(6702, 24, 10, 1, 153, 1905, 1)
(6703, 40, 8, 1, 297, 674, 1)
(6704, 50, 10, 1, 321, 1935, 1)
(6708, 40, 8, 6, 1490, 1696, 1)
(6730, 36, 15, 5, 1760, 1240, 1)
(6732, 20, 12, 1, 168, 964, 1)
(6734, 50, 15, 3, 473, 1651, 1)
(6737, 40, 15, 1, 1760, 504, 1)
(6755, 50, 12, 2, 1875, 651, 1)
(6777, 40, 8, 1, 1672, 376, 1)
(6784, 50, 8, 1, 1528, 1672, 1)
(6785, 20, 8, 3, 1673, 1804, 1)
(6789, 20, 12, 3, 554, 152, 1)
(6795, 50, 10, 2, 97, 1911, 1)
(6805, 20, 15, 5, 1600, 303, 1)
(6807, 36, 15, 3, 1755, 289, 1)
(6811, 30, 8, 6, 109, 391, 1)
(6835, 30, 8, 6, 1905, 600, 1)
(6836, 40, 10, 5, 744, 1218, 1)
(6838, 36, 10, 6, 439, 746, 1)
(6852, 36, 12, 3, 1758, 189, 1)
(6854, 30, 12, 4, 386, 1815, 1)
(6859, 30, 8, 6, 924, 439, 1)
(6892, 20, 8, 1, 505, 470, 1)
(6893, 30, 8, 4, 96, 280, 1)
(6897, 24, 12, 2, 493, 1755, 1)
(6901, 20, 15, 2, 604, 520, 1)
(6909, 30, 8, 4, 450, 1245, 1)
(6918, 30, 8, 1, 280, 240, 1)
(6930, 30, 10, 6, 1340, 1985, 1)
(6937, 20, 15, 6, 31, 74, 1)
(6939, 24, 12, 4, 25, 924, 1)
(6951, 20, 12, 3, 405, 1033, 1)
(6954, 40, 8, 4, 766, 1222, 1)
(6956, 36, 12, 2, 345, 335, 1)
(6961, 30, 15, 3, 1913, 1133, 1)
(6969, 20, 15, 6, 132, 1425, 0)
(6979, 40, 10, 6, 473, 1846, 1)
(6984, 30, 10, 1, 766, 1804, 1)
(6993, 40, 8, 3, 1451, 1837, 1)
(6999, 50, 15, 3, 1410, 391, 1)
