#(id,from,to,speed,planTime, priority, preset)
(61127, 789, 1496, 12, 38, 0, 0)
(41964, 177, 28, 16, 3, 0, 0)
(64054, 1387, 1920, 4, 86, 0, 0)
(15446, 219, 1268, 6, 57, 1, 0)
(95354, 1981, 613, 8, 29, 0, 0)
(18691, 945, 1476, 16, 4, 1, 0)
(22201, 789, 1080, 8, 30, 0, 0)
(49932, 1044, 1355, 4, 98, 0, 0)
(98490, 299, 1839, 18, 12, 0, 0)
(59257, 933, 1825, 4, 72, 0, 0)
(100347, 1956, 1489, 16, 96, 0, 0)
(106956, 25, 901, 8, 13, 1, 0)
(91825, 132, 1489, 12, 23, 0, 0)
(23283, 1955, 764, 12, 14, 0, 0)
(33914, 1153, 1386, 4, 90, 0, 0)
(94446, 669, 1306, 18, 67, 0, 0)
(57218, 1692, 346, 12, 6, 0, 0)
(102329, 40, 1981, 10, 56, 0, 0)
(81811, 1146, 1813, 8, 44, 0, 0)
(27139, 608, 613, 16, 34, 0, 0)
(73495, 507, 40, 8, 50, 0, 0)
(97120, 669, 1984, 4, 68, 0, 0)
(15595, 1992, 64, 12, 16, 0, 0)
(69089, 219, 1489, 4, 55, 0, 0)
(58107, 111, 199, 12, 16, 0, 0)
(77318, 1821, 743, 16, 23, 0, 0)
(76845, 613, 614, 4, 20, 0, 0)
(48985, 1920, 1523, 8, 1, 0, 0)
(94460, 1085, 28, 18, 37, 1, 0)
(18695, 1920, 599, 8, 43, 0, 0)
(72805, 1523, 1956, 14, 44, 0, 0)
(75623, 1394, 1168, 10, 84, 0, 0)
(29456, 962, 1883, 12, 93, 0, 0)
(34052, 1386, 1635, 4, 14, 0, 0)
(40387, 1364, 608, 4, 86, 0, 0)
(12619, 166, 1489, 14, 88, 1, 0)
(37752, 1509, 1268, 14, 27, 0, 0)
(46586, 1386, 1065, 4, 23, 0, 0)
(43092, 1272, 778, 14, 72, 0, 0)
(43070, 199, 23, 6, 48, 0, 0)
(99946, 669, 1168, 10, 87, 0, 0)
(20713, 1301, 1537, 16, 82, 0, 0)
(61909, 1496, 1920, 12, 76, 0, 0)
(88791, 346, 643, 8, 2, 0, 0)
(44813, 516, 1984, 4, 28, 0, 0)
(41126, 1271, 1842, 4, 43, 0, 1)
(33741, 572, 1476, 14, 76, 0, 0)
(95805, 608, 1585, 4, 23, 0, 0)
(14256, 1981, 1987, 6, 22, 0, 0)
(15839, 1677, 613, 14, 91, 0, 0)
(78652, 1166, 177, 14, 61, 0, 1)
(15625, 933, 346, 4, 1, 0, 0)
(51012, 134, 778, 16, 36, 0, 0)
(38116, 487, 1080, 8, 77, 1, 0)
(10272, 608, 382, 18, 69, 0, 0)
(83082, 945, 1306, 14, 63, 0, 0)
(23415, 1992, 64, 4, 3, 0, 0)
(18049, 1821, 1486, 14, 68, 0, 0)
(38797, 212, 1984, 12, 62, 0, 0)
(47269, 1740, 25, 10, 98, 0, 0)
(103419, 1821, 962, 18, 52, 1, 0)
(38405, 281, 40, 6, 85, 0, 0)
(54532, 1146, 1708, 6, 70, 1, 0)
(36097, 1132, 1476, 10, 80, 0, 0)
(49983, 1635, 48, 16, 28, 0, 0)
(73239, 999, 546, 14, 30, 0, 0)
(70132, 1268, 1708, 16, 75, 0, 0)
(37579, 1162, 1537, 8, 12, 0, 0)
(53055, 764, 150, 14, 17, 0, 0)
(92458, 1053, 1585, 4, 3, 0, 0)
(36892, 1386, 1839, 6, 96, 0, 0)
(104369, 764, 1955, 12, 62, 1, 0)
(56784, 933, 1489, 12, 82, 1, 0)
(54079, 1977, 546, 4, 99, 0, 0)
(39648, 901, 1476, 10, 55, 1, 0)
(47416, 437, 1773, 18, 91, 0, 0)
(20840, 1537, 1005, 14, 28, 0, 0)
(36854, 1567, 962, 6, 78, 0, 0)
(25428, 134, 1947, 14, 82, 0, 0)
(72049, 248, 1491, 14, 48, 0, 0)
(38849, 1146, 166, 10, 80, 1, 0)
(81969, 791, 1585, 8, 53, 0, 0)
(100591, 1394, 1984, 12, 15, 0, 1)
(84406, 516, 1984, 18, 60, 1, 0)
(58122, 1229, 48, 12, 19, 0, 0)
(22169, 382, 281, 4, 35, 0, 0)
(105284, 166, 1074, 16, 54, 0, 0)
(42498, 223, 40, 18, 74, 0, 0)
(11568, 1420, 177, 18, 83, 1, 0)
(85274, 732, 887, 4, 86, 0, 0)
(31040, 1420, 150, 16, 8, 1, 0)
(35555, 1207, 1065, 10, 81, 0, 0)
(63141, 1132, 1085, 6, 85, 0, 0)
(53409, 1053, 1708, 10, 97, 0, 0)
(67956, 791, 778, 18, 78, 0, 0)
(87768, 1275, 1491, 8, 2, 0, 0)
(44363, 1268, 1364, 16, 60, 0, 0)
(67094, 789, 346, 4, 30, 0, 0)
(53842, 569, 1162, 8, 79, 0, 0)
(65340, 111, 901, 14, 52, 0, 0)
(21627, 382, 1489, 6, 4, 1, 0)
(77200, 1271, 1842, 14, 10, 0, 0)
(69031, 507, 1585, 10, 77, 0, 0)
(10156, 1819, 546, 12, 94, 0, 0)
(80811, 608, 643, 10, 47, 1, 0)
(103543, 223, 643, 14, 78, 0, 0)
(106034, 799, 48, 8, 77, 0, 1)
(25819, 515, 1839, 14, 70, 1, 0)
(63276, 1804, 1387, 4, 97, 0, 0)
(59236, 1272, 778, 14, 19, 0, 0)
(106371, 1271, 1708, 14, 61, 0, 0)
(31847, 1275, 346, 8, 2, 0, 0)
(59839, 1977, 1839, 6, 91, 0, 0)
(43890, 1074, 74, 6, 76, 0, 0)
(36210, 1636, 1977, 18, 61, 0, 0)
(98460, 1922, 901, 8, 57, 0, 0)
(100596, 778, 134, 18, 32, 0, 1)
(22189, 1773, 1842, 4, 27, 0, 0)
(76230, 1168, 1635, 18, 46, 0, 0)
(34568, 1085, 546, 8, 78, 0, 0)
(57785, 48, 743, 8, 47, 0, 0)
(29564, 1491, 643, 18, 38, 0, 0)
(57765, 1168, 28, 4, 8, 0, 0)
(108846, 1146, 1813, 18, 5, 0, 0)
(48246, 1491, 778, 18, 70, 0, 0)
(62712, 1275, 346, 16, 55, 1, 0)
(97687, 134, 1920, 14, 56, 0, 0)
(105425, 1364, 346, 8, 2, 0, 1)
(10122, 1420, 569, 18, 16, 0, 0)
(51835, 778, 1825, 16, 6, 0, 0)
(109503, 1269, 1386, 16, 57, 0, 0)
(80668, 1301, 1883, 18, 16, 0, 0)
(18700, 437, 1489, 16, 6, 0, 0)
(93442, 166, 346, 18, 40, 0, 0)
(91320, 281, 1509, 12, 15, 1, 0)
(82612, 572, 23, 4, 90, 0, 0)
(53107, 1804, 346, 10, 93, 0, 1)
(41938, 28, 569, 16, 59, 0, 1)
(16801, 1178, 1301, 12, 47, 0, 0)
(11459, 1476, 1486, 8, 24, 0, 0)
(96279, 1074, 248, 18, 98, 0, 0)
(54606, 791, 128, 4, 73, 0, 0)
(61826, 1800, 202, 14, 82, 0, 0)
(48668, 243, 248, 4, 15, 0, 0)
(105126, 223, 1842, 16, 80, 0, 0)
(43939, 1476, 945, 18, 25, 1, 0)
