#(id,length,speed,channel,from,to,isDuplex)
(5007, 36, 20, 6, 1636, 1839, 1)
(5010, 40, 20, 6, 901, 1065, 1)
(5015, 24, 10, 2, 1800, 1364, 1)
(5030, 48, 10, 2, 1355, 1178, 1)
(5038, 40, 10, 2, 62, 1633, 1)
(5046, 24, 20, 6, 1956, 219, 1)
(5048, 48, 12, 2, 1271, 507, 1)
(5053, 24, 20, 6, 945, 1015, 1)
(5064, 30, 6, 3, 791, 1491, 1)
(5070, 50, 20, 6, 1922, 1387, 1)
(5112, 36, 20, 6, 1947, 1275, 1)
(5117, 40, 12, 1, 887, 490, 1)
(5125, 50, 20, 6, 1301, 1636, 1)
(5147, 30, 20, 6, 281, 1074, 1)
(5149, 48, 20, 6, 1509, 154, 1)
(5157, 30, 12, 1, 248, 166, 1)
(5167, 30, 10, 1, 373, 48, 1)
(5185, 24, 8, 2, 128, 1987, 1)
(5193, 50, 8, 3, 1813, 1956, 0)
(5194, 48, 8, 1, 1207, 1773, 1)
(5212, 40, 10, 2, 743, 1132, 1)
(5213, 36, 8, 3, 25, 373, 1)
(5223, 48, 8, 3, 945, 669, 1)
(5231, 24, 6, 1, 243, 1523, 1)
(5235, 48, 6, 3, 1207, 1922, 0)
(5239, 36, 20, 6, 999, 133, 1)
(5263, 36, 6, 2, 515, 999, 1)
(5269, 36, 20, 6, 437, 1804, 1)
(5288, 36, 12, 3, 299, 264, 1)
(5292, 36, 20, 6, 1912, 1486, 1)
(5298, 30, 8, 3, 669, 1394, 1)
(5302, 30, 6, 2, 799, 1635, 1)
(5304, 24, 20, 6, 1992, 1143, 1)
(5311, 50, 6, 2, 1420, 572, 1)
(5323, 50, 6, 2, 1567, 579, 1)
(5327, 36, 6, 3, 614, 1981, 1)
(5328, 40, 8, 1, 1773, 1272, 1)
(5330, 36, 6, 1, 212, 456, 1)
(5341, 30, 6, 2, 150, 1355, 1)
(5355, 24, 8, 1, 733, 1207, 1)
(5365, 48, 20, 6, 997, 200, 1)
(5381, 40, 20, 6, 1229, 1209, 1)
(5389, 30, 6, 2, 1839, 1166, 1)
(5436, 30, 12, 2, 572, 28, 1)
(5438, 48, 12, 2, 799, 1209, 1)
(5441, 24, 20, 6, 599, 685, 1)
(5444, 30, 12, 1, 1162, 1633, 1)
(5456, 40, 8, 2, 614, 1080, 1)
(5469, 36, 12, 1, 40, 166, 1)
(5471, 50, 20, 6, 1476, 1386, 1)
(5478, 24, 6, 2, 1301, 1182, 1)
(5486, 48, 12, 1, 373, 733, 1)
(5491, 48, 6, 1, 789, 132, 1)
(5501, 48, 10, 3, 515, 1977, 1)
(5504, 24, 6, 2, 487, 789, 1)
(5511, 30, 12, 3, 1677, 1268, 1)
(5521, 48, 10, 3, 1920, 643, 1)
(5524, 50, 20, 6, 40, 1800, 1)
(5528, 24, 8, 2, 133, 1821, 1)
(5532, 50, 10, 1, 1053, 202, 1)
(5559, 24, 10, 3, 643, 248, 1)
(5561, 24, 6, 2, 1635, 1153, 1)
(5563, 50, 12, 2, 1981, 64, 1)
(5564, 30, 20, 6, 1143, 132, 1)
(5570, 48, 20, 6, 1065, 1229, 1)
(5587, 36, 20, 6, 1015, 1271, 1)
(5595, 48, 20, 6, 48, 1767, 1)
(5596, 48, 20, 6, 569, 150, 1)
(5598, 36, 10, 3, 1044, 1182, 1)
(5609, 50, 20, 6, 1275, 128, 1)
(5616, 30, 20, 6, 1537, 569, 1)
(5621, 30, 8, 2, 613, 74, 1)
(5632, 30, 6, 3, 1132, 1065, 1)
(5633, 40, 8, 2, 382, 1509, 1)
(5638, 36, 12, 3, 1970, 62, 0)
(5640, 50, 20, 6, 1992, 1509, 1)
(5643, 50, 20, 6, 490, 1146, 1)
(5658, 30, 20, 6, 132, 1955, 1)
(5674, 36, 10, 2, 572, 516, 1)
(5684, 36, 12, 3, 962, 546, 1)
(5686, 48, 10, 2, 533, 1955, 1)
(5707, 50, 20, 6, 200, 599, 1)
(5733, 40, 10, 3, 28, 743, 1)
(5741, 36, 12, 1, 74, 382, 1)
(5789, 48, 20, 6, 1162, 1005, 1)
(5798, 24, 20, 6, 685, 608, 1)
(5805, 36, 20, 6, 1920, 1947, 1)
(5814, 40, 6, 2, 1819, 1567, 1)
(5824, 36, 8, 1, 1394, 507, 1)
(5844, 48, 20, 6, 128, 1956, 1)
(5846, 50, 6, 1, 1977, 1085, 1)
(5859, 30, 20, 6, 1271, 997, 1)
(5874, 48, 8, 3, 1491, 1648, 1)
(5876, 40, 20, 6, 962, 764, 1)
(5882, 30, 12, 2, 887, 608, 1)
(5886, 50, 10, 3, 1420, 199, 1)
(5902, 48, 20, 6, 1883, 1977, 1)
(5903, 48, 8, 1, 219, 487, 1)
(5907, 30, 10, 2, 1708, 248, 1)
(5911, 50, 20, 6, 1344, 1537, 1)
(5914, 24, 20, 6, 1386, 1168, 1)
(5915, 48, 20, 6, 1825, 1523, 1)
(5925, 30, 20, 6, 1080, 1496, 1)
(5937, 24, 20, 6, 1767, 1922, 1)
(5956, 40, 8, 2, 64, 1489, 1)
(5988, 24, 20, 6, 516, 1740, 1)
(6000, 50, 20, 6, 133, 1819, 1)
(6004, 50, 8, 2, 1268, 64, 1)
(6008, 40, 20, 6, 154, 456, 1)
(6017, 30, 10, 2, 1364, 830, 1)
(6038, 48, 6, 1, 212, 1420, 1)
(6042, 40, 8, 3, 28, 1740, 1)
(6057, 36, 12, 3, 778, 1813, 1)
(6061, 48, 8, 3, 248, 1813, 1)
(6063, 30, 20, 6, 1970, 1162, 1)
(6068, 48, 10, 2, 830, 62, 1)
(6074, 36, 20, 6, 1977, 133, 1)
(6076, 48, 12, 3, 23, 1306, 1)
(6082, 24, 8, 1, 1355, 23, 1)
(6087, 36, 10, 2, 1827, 791, 1)
(6109, 30, 12, 3, 382, 1692, 1)
(6110, 36, 20, 6, 456, 199, 1)
(6112, 48, 10, 3, 685, 1677, 1)
(6125, 30, 8, 2, 733, 1767, 1)
(6129, 50, 20, 6, 608, 1146, 1)
(6140, 24, 10, 1, 437, 1987, 1)
(6157, 50, 12, 3, 264, 150, 1)
(6161, 40, 20, 6, 1153, 202, 1)
(6173, 24, 20, 6, 1740, 1912, 1)
(6174, 50, 20, 6, 1955, 999, 1)
(6179, 50, 8, 3, 1166, 743, 1)
(6212, 36, 20, 6, 150, 1883, 1)
(6240, 30, 12, 2, 1537, 264, 1)
(6242, 30, 20, 6, 1523, 1080, 1)
(6244, 30, 20, 6, 764, 901, 1)
(6246, 24, 10, 2, 1132, 1486, 1)
(6253, 24, 8, 1, 1635, 1053, 1)
(6258, 30, 12, 2, 153, 1827, 1)
(6264, 36, 10, 1, 1306, 1386, 0)
(6267, 48, 12, 1, 134, 791, 1)
(6272, 40, 8, 2, 608, 1268, 1)
(6278, 50, 10, 1, 1031, 579, 0)
(6283, 48, 8, 1, 111, 23, 1)
(6285, 48, 12, 2, 778, 128, 1)
(6287, 24, 12, 1, 1692, 212, 1)
(6301, 24, 12, 3, 1981, 1496, 1)
(6320, 48, 8, 1, 1272, 1825, 1)
(6330, 24, 12, 2, 599, 1648, 1)
(6341, 30, 6, 2, 1585, 643, 1)
(6359, 48, 20, 6, 1031, 153, 1)
(6360, 30, 20, 6, 219, 1992, 1)
(6361, 40, 6, 3, 1987, 933, 1)
(6364, 50, 12, 2, 1821, 1567, 1)
(6369, 36, 6, 3, 1636, 1269, 0)
(6371, 40, 20, 6, 111, 1984, 1)
(6378, 50, 12, 2, 743, 1912, 1)
(6381, 50, 6, 2, 1947, 778, 1)
(6398, 48, 6, 3, 177, 1355, 1)
(6409, 24, 8, 3, 533, 515, 1)
(6435, 30, 10, 1, 1269, 1166, 1)
(6442, 40, 20, 6, 732, 1970, 1)
(6448, 36, 8, 2, 1648, 1677, 1)
(6454, 36, 8, 2, 243, 614, 1)
(6457, 24, 10, 3, 1692, 154, 0)
(6471, 30, 20, 6, 569, 177, 1)
(6498, 30, 20, 6, 1005, 1301, 1)
(6504, 36, 12, 1, 1268, 281, 1)
(6507, 48, 10, 1, 166, 1364, 1)
(6516, 40, 20, 6, 199, 516, 1)
(6517, 48, 12, 2, 546, 1132, 1)
(6521, 24, 20, 6, 1819, 1031, 1)
(6522, 36, 8, 2, 1085, 1821, 1)
(6539, 24, 10, 1, 1486, 799, 1)
(6555, 48, 20, 6, 1842, 1585, 1)
(6564, 48, 8, 1, 1178, 1085, 1)
(6577, 36, 20, 6, 1800, 732, 1)
(6597, 30, 10, 3, 1272, 243, 1)
(6599, 48, 20, 6, 1585, 1708, 1)
(6609, 30, 20, 6, 1496, 1489, 1)
(6612, 24, 20, 6, 1842, 1920, 1)
(6618, 50, 6, 2, 1053, 887, 1)
(6620, 48, 20, 6, 1074, 346, 1)
(6627, 40, 6, 3, 579, 1827, 1)
(6629, 36, 6, 1, 732, 830, 1)
(6637, 48, 20, 6, 1804, 1344, 1)
(6645, 24, 20, 6, 1486, 1229, 1)
(6646, 40, 8, 3, 997, 223, 1)
(6659, 36, 12, 2, 1306, 25, 1)
(6673, 36, 10, 2, 64, 1074, 1)
(6685, 24, 12, 2, 1633, 1044, 1)
(6694, 24, 8, 1, 933, 299, 1)
(6721, 50, 10, 3, 1344, 299, 1)
(6726, 30, 8, 1, 487, 1143, 1)
(6732, 30, 8, 1, 25, 1168, 1)
(6744, 48, 6, 3, 1166, 546, 1)
(6749, 24, 6, 3, 546, 901, 1)
(6751, 24, 12, 2, 1182, 1269, 1)
(6767, 36, 20, 6, 1984, 1476, 1)
(6768, 30, 20, 6, 516, 945, 1)
(6777, 30, 12, 2, 1813, 613, 1)
(6778, 24, 12, 2, 1005, 1044, 1)
(6780, 30, 20, 6, 153, 134, 1)
(6794, 36, 20, 6, 202, 490, 1)
