#(id,roadId,roadId,roadId,roadId)
(8, -1, 5451, 6662, 5742)
(18, -1, -1, 5961, 6587)
(23, -1, -1, 5389, 6069)
(50, 6103, 5296, 6253, 5805)
(65, 5790, 5151, 5383, 6898)
(82, 6854, 5716, 6238, 5389)
(109, 6011, 5951, 5291, 5008)
(119, 6044, 6846, 5987, 5995)
(128, 5853, 6112, 5268, 5639)
(135, 6745, 5430, 6238, 5590)
(143, -1, 6337, 6808, -1)
(149, 6158, 5081, 5659, 6246)
(154, 6293, 5131, 5967, 5438)
(156, 5326, -1, -1, 5949)
(163, 6456, 6544, 6022, 5461)
(164, 6308, -1, -1, 5205)
(176, 6642, 6349, 6350, 6769)
(218, 5823, 5833, 6349, 6902)
(246, 5085, 5081, 5713, 6319)
(258, -1, -1, 6550, 5790)
(294, 6022, 6165, 6412, 5120)
(322, 6472, 6223, 5843, 6570)
(351, 6667, 6117, 6424, 6805)
(370, 6435, 6201, 5214, 5713)
(375, -1, 5559, 6610, 6569)
(389, 5650, 5131, 6112, 5292)
(392, 6190, 5480, 6500, 6456)
(418, 5868, 5309, 5234, 5259)
(428, 6044, 6049, -1, -1)
(429, -1, -1, 6577, 5833)
(459, 6165, 6664, -1, -1)
(463, 5085, 6148, 6026, 5972)
(467, 5708, 5175, 5975, 5836)
(477, -1, 5577, 6324, 5878)
(490, 6098, 6745, 6828, 5313)
(495, 5329, 5438, 6464, 6472)
(499, 6924, 5291, 5418, 5250)
(504, -1, -1, 6805, 5868)
(510, 6213, 6312, 5590, 6035)
(517, 5705, 6436, 6201, 5016)
(553, 6234, 5515, -1, 6092)
(556, 5326, 5418, 6381, -1)
(565, 6090, 5329, 5596, 6049)
(603, 5205, 5457, 5676, 6803)
(615, 5711, 5748, 5128, 6307)
(616, 6098, 5245, 6193, 5142)
(653, 6905, 5094, 6011, 6501)
(664, 6323, 6924, 5888, 6223)
(668, 6148, 5648, 6788, 5128)
(683, 5961, 6082, 6392, 5112)
(685, 5346, 6919, 5461, 6823)
(692, 5728, 6500, 5614, -1)
(714, 5016, -1, -1, 5691)
(777, 6780, 5062, -1, -1)
(789, 6701, 5801, 5691, 5224)
(796, 6444, 5705, 5801, 5676)
(831, -1, 5823, 6824, -1)
(834, 6650, 5412, -1, -1)
(855, 6026, 5748, 5383, 6253)
(906, 6376, 6739, 5862, 6444)
(918, 6035, 5716, 6610, 6945)
(928, 6172, -1, 6381, 5951)
(947, 5013, 5479, 5604, 6769)
(982, -1, -1, 6816, 5604)
(1014, -1, 5742, 5108, 5577)
(1028, 6928, 5313, 5465, 5112)
(1032, 6069, 5430, 5142, 6650)
(1044, -1, -1, 6203, 6682)
(1113, 5972, 5296, 5911, 5659)
(1152, 6662, 5648, 6319, 6279)
(1179, -1, -1, 6170, 5243)
(1180, -1, 6376, 5457, -1)
(1193, 6117, 6389, 6190, 6919)
(1205, 6808, 5091, 5559, -1)
(1208, 5711, -1, -1, 6898)
(1240, 5843, 6944, 6642, 6816)
(1250, 5451, -1, 5829, 6788)
(1253, 6046, 6337, 6308, 6960)
(1254, -1, -1, 5259, 6082)
(1258, 5888, 6509, 6902, 6944)
(1263, 5151, 5323, 5853, 5805)
(1291, 6432, 5911, 5367, 5014)
(1318, 5323, 6550, 5243, 5292)
(1326, 5933, 6828, 6312, 5366)
(1327, -1, -1, 6905, 6999)
(1337, -1, -1, 6569, 6854)
(1339, 5218, -1, -1, 5515)
(1356, 5437, 6436, 5862, 6324)
(1384, 6577, 5218, 6462, 6350)
(1425, 5387, 6667, -1, -1)
(1438, 6664, 6544, 5728, -1)
(1474, 6193, 5938, 6203, 5412)
(1482, 6928, 5503, 5105, 5245)
(1489, 6557, 5480, 5827, 6270)
(1494, 6435, 6158, -1, -1)
(1507, 6432, -1, -1, 6246)
(1513, 5224, 5062, 5366, 5797)
(1514, 6424, 5346, 5175, 5309)
(1544, 6270, 5013, 6462, 6234)
(1567, 5268, 6293, 6090, 5995)
(1589, 6780, 6587, 5465, 5933)
(1600, 5120, 6113, 5975, 6823)
(1602, 6213, 6833, 6641, 5797)
(1623, 6509, 5250, 5949, 6824)
(1670, 6846, -1, -1, 5014)
(1680, 5987, 5367, 6103, 5639)
(1754, -1, -1, 6307, 5829)
(1769, -1, -1, 5712, 6412)
(1789, 5387, 5479, 5827, 6389)
(1798, 5108, 6279, 5214, 5437)
(1803, -1, 5614, 6557, 6092)
(1816, -1, 5878, 6739, -1)
(1817, 5938, 5105, 5836, 6830)
(1859, 6643, 5967, 5036, 6501)
(1884, 5650, 6170, 6999, 5036)
(1889, 5712, 6682, 6830, 6113)
(1919, 5596, 6570, -1, -1)
(1948, 5503, 6392, 5234, 5708)
(1957, -1, -1, 6172, 5094)
(1973, 6945, 5091, 6046, 6833)
(1985, 6643, 5008, 6323, 6464)
(1997, 6701, 6641, 6960, 6803)
