#(id,length,speed,channel,from,to,isDuplex)
(5000, 10, 5, 1, 1, 2, 1)
(5001, 20, 5, 1, 2, 3, 1)
(5002, 10, 5, 1, 3, 4, 1)
(5003, 20, 5, 1, 4, 5, 1)
(5004, 20, 5, 1, 5, 6, 1)
(5005, 10, 5, 1, 1, 7, 1)
(5006, 20, 5, 1, 2, 8, 1)
(5007, 10, 5, 1, 3, 9, 1)
(5008, 20, 5, 1, 4, 10, 1)
(5009, 10, 5, 1, 5, 11, 1)
(5010, 20, 5, 1, 6, 12, 1)
(5011, 10, 5, 1, 7, 8, 1)
(5012, 10, 5, 1, 8, 9, 1)
(5013, 10, 5, 1, 9, 10, 1)
(5014, 20, 5, 1, 10, 11, 1)
(5015, 10, 5, 1, 11, 12, 1)
(5016, 10, 5, 1, 7, 13, 1)
(5017, 20, 5, 1, 8, 14, 1)
(5018, 10, 5, 1, 9, 15, 1)
(5019, 20, 5, 1, 10, 16, 1)
(5020, 20, 5, 1, 11, 17, 1)
(5021, 20, 5, 1, 12, 18, 1)
(5022, 20, 5, 1, 13, 14, 1)
(5023, 10, 5, 1, 14, 15, 1)
(5024, 10, 5, 1, 15, 16, 1)
(5025, 10, 5, 1, 16, 17, 1)
(5026, 10, 5, 1, 17, 18, 1)
(5027, 20, 5, 1, 13, 19, 1)
(5028, 10, 5, 1, 14, 20, 1)
(5029, 10, 5, 1, 15, 21, 1)
(5030, 20, 5, 1, 16, 22, 1)
(5031, 10, 5, 1, 17, 23, 1)
(5032, 10, 5, 1, 18, 24, 1)
(5033, 10, 5, 1, 19, 20, 1)
(5034, 10, 5, 1, 20, 21, 1)
(5035, 20, 5, 1, 21, 22, 1)
(5036, 20, 5, 1, 22, 23, 1)
(5037, 20, 5, 1, 23, 24, 1)
(5038, 10, 5, 1, 19, 25, 1)
(5039, 20, 5, 1, 20, 26, 1)
(5040, 20, 5, 1, 21, 27, 1)
(5041, 20, 5, 1, 22, 28, 1)
(5042, 20, 5, 1, 23, 29, 1)
(5043, 20, 5, 1, 24, 30, 1)
(5044, 10, 5, 1, 25, 26, 1)
(5045, 10, 5, 1, 26, 27, 1)
(5046, 20, 5, 1, 27, 28, 1)
(5047, 10, 5, 1, 28, 29, 1)
(5048, 20, 5, 1, 29, 30, 1)
(5049, 10, 5, 1, 25, 31, 1)
(5050, 20, 5, 1, 26, 32, 1)
(5051, 10, 5, 1, 27, 33, 1)
(5052, 20, 5, 1, 28, 34, 1)
(5053, 10, 5, 1, 29, 35, 1)
(5054, 20, 5, 1, 30, 36, 1)
(5055, 20, 5, 1, 31, 32, 1)
(5056, 20, 5, 1, 32, 33, 1)
(5057, 20, 5, 1, 33, 34, 1)
(5058, 10, 5, 1, 34, 35, 1)
(5059, 10, 5, 1, 35, 36, 1)
