#(id,roadId,roadId,roadId,roadId)
(1, 5000, 5005, -1, -1)
(2, 5001, 5006, 5000, -1)
(3, 5002, 5007, 5001, -1)
(4, 5003, 5008, 5002, -1)
(5, 5004, 5009, 5003, -1)
(6, -1, 5010, 5004, -1)
(7, 5011, 5016, -1, 5005)
(8, 5012, 5017, 5011, 5006)
(9, 5013, 5018, 5012, 5007)
(10, 5014, 5019, 5013, 5008)
(11, 5015, 5020, 5014, 5009)
(12, -1, 5021, 5015, 5010)
(13, 5022, 5027, -1, 5016)
(14, 5023, 5028, 5022, 5017)
(15, 5024, 5029, 5023, 5018)
(16, 5025, 5030, 5024, 5019)
(17, 5026, 5031, 5025, 5020)
(18, -1, 5032, 5026, 5021)
(19, 5033, 5038, -1, 5027)
(20, 5034, 5039, 5033, 5028)
(21, 5035, 5040, 5034, 5029)
(22, 5036, 5041, 5035, 5030)
(23, 5037, 5042, 5036, 5031)
(24, -1, 5043, 5037, 5032)
(25, 5044, 5049, -1, 5038)
(26, 5045, 5050, 5044, 5039)
(27, 5046, 5051, 5045, 5040)
(28, 5047, 5052, 5046, 5041)
(29, 5048, 5053, 5047, 5042)
(30, -1, 5054, 5048, 5043)
(31, 5055, -1, -1, 5049)
(32, 5056, -1, 5055, 5050)
(33, 5057, -1, 5056, 5051)
(34, 5058, -1, 5057, 5052)
(35, 5059, -1, 5058, 5053)
(36, -1, -1, 5059, 5054)
