#(id,from,to,speed,planTime)
(10000, 26, 2, 2, 3)
(10001, 14, 33, 6, 3)
(10002, 30, 8, 4, 3)
(10003, 16, 34, 4, 3)
(10004, 9, 33, 6, 3)
(10005, 3, 27, 6, 3)
(10006, 3, 31, 6, 3)
(10007, 4, 32, 2, 2)
(10008, 18, 36, 6, 3)
(10009, 12, 35, 6, 2)
(10010, 35, 8, 4, 2)
(10011, 15, 33, 2, 2)
(10012, 36, 14, 2, 2)
(10013, 32, 14, 4, 3)
(10014, 15, 34, 2, 1)
(10015, 2, 22, 6, 1)
(10016, 16, 35, 4, 3)
(10017, 34, 7, 4, 3)
(10018, 19, 1, 6, 1)
(10019, 11, 32, 6, 3)
(10020, 33, 2, 4, 2)
(10021, 11, 33, 2, 2)
(10022, 31, 1, 6, 2)
(10023, 21, 3, 2, 3)
(10024, 20, 1, 6, 1)
(10025, 3, 26, 4, 3)
(10026, 16, 36, 4, 3)
(10027, 15, 35, 4, 2)
(10028, 28, 2, 4, 2)
(10029, 25, 1, 4, 2)
(10030, 30, 2, 2, 2)
(10031, 17, 35, 6, 1)
(10032, 20, 1, 6, 1)
(10033, 11, 35, 6, 3)
(10034, 16, 34, 2, 1)
(10035, 33, 11, 6, 2)
(10036, 31, 9, 2, 1)
(10037, 25, 5, 6, 3)
(10038, 36, 16, 6, 3)
(10039, 16, 36, 4, 3)
(10040, 22, 3, 6, 3)
(10041, 7, 34, 6, 3)
(10042, 22, 2, 6, 2)
(10043, 13, 35, 4, 2)
(10044, 31, 4, 6, 2)
(10045, 32, 3, 6, 2)
(10046, 1, 25, 6, 2)
(10047, 34, 6, 2, 2)
(10048, 19, 1, 2, 3)
(10049, 28, 3, 2, 3)
(10050, 28, 1, 4, 2)
(10051, 14, 36, 6, 2)
(10052, 27, 5, 6, 2)
(10053, 10, 31, 4, 3)
(10054, 4, 31, 4, 3)
(10055, 23, 4, 2, 1)
(10056, 12, 31, 6, 1)
(10057, 24, 3, 4, 2)
(10058, 3, 31, 2, 1)
(10059, 4, 23, 2, 1)
(10060, 21, 3, 2, 2)
(10061, 26, 2, 6, 1)
(10062, 35, 16, 4, 2)
(10063, 30, 12, 2, 3)
(10064, 12, 30, 6, 1)
(10065, 26, 5, 2, 1)
(10066, 3, 35, 4, 2)
(10067, 18, 36, 2, 3)
(10068, 9, 27, 4, 1)
(10069, 1, 32, 6, 3)
(10070, 34, 15, 6, 3)
(10071, 13, 34, 6, 2)
(10072, 10, 28, 6, 2)
(10073, 21, 2, 6, 3)
(10074, 36, 11, 2, 1)
(10075, 10, 35, 2, 1)
