#(id,length,speed,channel,from,to,isDuplex)
(5002, 36, 8, 1, 1967, 84, 1)
(5011, 20, 10, 3, 1943, 52, 1)
(5018, 40, 8, 2, 1576, 1439, 1)
(5021, 30, 10, 1, 1623, 463, 1)
(5023, 24, 10, 3, 1273, 800, 1)
(5028, 40, 8, 3, 93, 41, 1)
(5030, 30, 8, 2, 899, 217, 1)
(5042, 36, 10, 2, 661, 697, 1)
(5044, 24, 10, 3, 1366, 830, 1)
(5062, 40, 15, 3, 1705, 1679, 1)
(5072, 36, 8, 2, 1680, 943, 1)
(5086, 36, 10, 3, 84, 566, 1)
(5090, 36, 10, 1, 463, 157, 1)
(5101, 24, 15, 2, 1386, 493, 1)
(5125, 36, 15, 2, 52, 1838, 1)
(5146, 36, 12, 3, 754, 1412, 0)
(5150, 24, 12, 3, 1591, 926, 1)
(5179, 36, 10, 1, 615, 1396, 1)
(5188, 24, 12, 3, 1352, 850, 1)
(5202, 20, 10, 1, 1985, 1362, 1)
(5210, 20, 8, 3, 943, 473, 1)
(5211, 30, 12, 1, 197, 84, 1)
(5235, 24, 8, 1, 1019, 205, 1)
(5243, 24, 15, 3, 131, 1890, 1)
(5249, 20, 8, 3, 323, 566, 1)
(5260, 20, 12, 2, 180, 955, 1)
(5262, 20, 15, 1, 322, 1909, 1)
(5266, 30, 10, 3, 1139, 1985, 1)
(5274, 30, 10, 1, 615, 263, 1)
(5324, 24, 15, 2, 217, 1366, 1)
(5347, 40, 15, 3, 482, 717, 1)
(5356, 24, 8, 3, 41, 1273, 1)
(5358, 24, 12, 1, 1692, 283, 1)
(5374, 20, 8, 1, 566, 1396, 1)
(5379, 30, 15, 2, 1439, 463, 1)
(5382, 24, 8, 2, 112, 1534, 1)
(5384, 36, 8, 2, 1412, 148, 1)
(5401, 40, 8, 3, 1476, 1375, 1)
(5421, 20, 8, 3, 540, 1576, 1)
(5431, 20, 8, 1, 1225, 645, 1)
(5443, 20, 10, 3, 197, 323, 1)
(5457, 20, 15, 3, 955, 5, 1)
(5462, 30, 15, 3, 341, 462, 1)
(5466, 40, 12, 2, 1967, 859, 0)
(5470, 30, 12, 3, 153, 824, 1)
(5471, 36, 10, 1, 1439, 1593, 1)
(5478, 36, 10, 1, 1273, 461, 1)
(5483, 30, 15, 1, 1742, 1921, 1)
(5511, 36, 15, 3, 1396, 1909, 1)
(5542, 20, 12, 1, 111, 831, 1)
(5553, 30, 8, 3, 110, 1302, 1)
(5562, 30, 10, 3, 824, 957, 1)
(5597, 40, 8, 2, 462, 32, 1)
(5606, 30, 8, 3, 1816, 1680, 1)
(5617, 36, 10, 2, 1692, 112, 1)
(5630, 36, 8, 1, 256, 1350, 1)
(5634, 20, 8, 3, 1348, 108, 1)
(5637, 24, 12, 2, 1910, 256, 1)
(5645, 24, 10, 1, 1186, 736, 1)
(5664, 20, 10, 3, 148, 943, 1)
(5674, 20, 15, 3, 810, 702, 1)
(5679, 36, 12, 3, 754, 757, 1)
(5683, 20, 15, 2, 1759, 108, 1)
(5685, 36, 12, 2, 697, 707, 1)
(5687, 30, 15, 3, 850, 1623, 1)
(5691, 24, 12, 3, 493, 1265, 1)
(5703, 30, 15, 1, 1716, 661, 1)
(5706, 24, 8, 3, 1849, 33, 1)
(5726, 20, 12, 2, 859, 933, 1)
(5739, 36, 12, 1, 859, 615, 1)
(5749, 30, 15, 3, 62, 1531, 1)
(5751, 20, 8, 3, 943, 1225, 0)
(5768, 20, 15, 3, 933, 263, 1)
(5801, 40, 10, 2, 369, 1335, 1)
(5814, 40, 15, 1, 1350, 810, 1)
(5816, 30, 15, 3, 41, 1591, 1)
(5832, 20, 12, 2, 697, 1265, 1)
(5836, 24, 8, 2, 1182, 1476, 1)
(5837, 24, 15, 2, 148, 1649, 1)
(5848, 24, 10, 1, 482, 731, 0)
(5850, 24, 10, 2, 1350, 957, 1)
(5866, 30, 10, 2, 831, 859, 1)
(5873, 24, 12, 2, 933, 112, 1)
(5876, 40, 8, 3, 1921, 180, 1)
(5898, 24, 8, 2, 620, 1856, 1)
(5900, 30, 8, 1, 661, 1190, 1)
(5920, 36, 10, 3, 1759, 1591, 1)
(5928, 36, 10, 3, 1362, 111, 1)
(5929, 20, 10, 1, 957, 1921, 1)
(5964, 40, 8, 1, 1680, 1605, 1)
(5975, 20, 10, 2, 1531, 369, 1)
(5978, 40, 10, 1, 702, 217, 1)
(5986, 40, 8, 2, 1265, 1436, 0)
(5993, 20, 12, 2, 1190, 707, 1)
(5994, 20, 10, 3, 752, 482, 1)
(5997, 40, 12, 2, 645, 1407, 1)
(5998, 36, 15, 3, 33, 1476, 1)
(6003, 24, 10, 1, 205, 1849, 1)
(6004, 20, 10, 2, 1567, 683, 1)
(6005, 30, 10, 3, 110, 1055, 1)
(6006, 24, 15, 1, 1945, 831, 1)
(6008, 30, 12, 1, 1649, 1225, 1)
(6023, 40, 8, 3, 1576, 1623, 1)
(6029, 36, 10, 1, 1623, 205, 1)
(6041, 20, 8, 2, 566, 322, 0)
(6055, 30, 12, 3, 473, 1240, 1)
(6060, 36, 15, 1, 926, 482, 1)
(6069, 36, 12, 2, 84, 615, 1)
(6076, 36, 10, 2, 1591, 461, 1)
(6089, 24, 12, 2, 831, 612, 0)
(6091, 40, 12, 1, 317, 661, 1)
(6128, 20, 15, 3, 317, 1182, 1)
(6134, 20, 12, 3, 1186, 33, 0)
(6183, 40, 15, 3, 1190, 1375, 1)
(6189, 20, 10, 2, 470, 758, 1)
(6192, 36, 8, 1, 1099, 612, 1)
(6199, 24, 15, 1, 461, 174, 1)
(6200, 30, 12, 1, 1705, 1670, 1)
(6214, 30, 10, 3, 758, 1567, 1)
(6217, 40, 12, 3, 1375, 1670, 1)
(6220, 20, 10, 1, 180, 1366, 1)
(6239, 40, 8, 2, 736, 1023, 1)
(6249, 36, 15, 1, 1028, 955, 1)
(6268, 30, 12, 2, 1945, 1099, 1)
(6271, 40, 10, 1, 174, 52, 1)
(6275, 36, 15, 1, 456, 1816, 1)
(6280, 30, 15, 3, 1055, 631, 1)
(6328, 36, 15, 2, 493, 1910, 1)
(6332, 40, 10, 2, 32, 111, 1)
(6335, 36, 12, 3, 1362, 1945, 1)
(6346, 40, 15, 1, 1436, 1531, 1)
(6350, 36, 8, 3, 758, 717, 1)
(6351, 30, 10, 2, 1386, 697, 1)
(6353, 40, 8, 2, 1412, 1680, 1)
(6356, 20, 12, 1, 1921, 1028, 1)
(6367, 30, 15, 1, 1023, 1705, 1)
(6369, 40, 15, 1, 899, 180, 1)
(6371, 24, 15, 3, 702, 291, 1)
(6376, 36, 15, 2, 1436, 1350, 1)
(6407, 24, 8, 2, 612, 933, 1)
(6422, 40, 12, 1, 256, 824, 1)
(6428, 40, 15, 1, 52, 456, 1)
(6431, 30, 8, 2, 1816, 684, 1)
(6432, 20, 10, 3, 1567, 1139, 1)
(6442, 20, 8, 2, 1375, 62, 0)
(6445, 30, 15, 1, 157, 1348, 1)
(6453, 24, 15, 3, 341, 1335, 1)
(6462, 40, 15, 3, 1352, 1877, 1)
(6465, 40, 8, 1, 130, 752, 0)
(6483, 40, 12, 3, 752, 758, 1)
(6493, 36, 12, 1, 111, 1967, 1)
(6498, 24, 12, 2, 1055, 322, 1)
(6499, 36, 8, 2, 108, 926, 1)
(6506, 20, 15, 1, 609, 1967, 1)
(6511, 30, 12, 3, 1838, 1816, 1)
(6528, 20, 15, 3, 5, 47, 1)
(6532, 36, 15, 3, 645, 1692, 1)
(6548, 36, 10, 2, 369, 702, 1)
(6549, 30, 8, 1, 131, 1576, 1)
(6551, 30, 15, 1, 33, 1023, 1)
(6555, 40, 10, 2, 1877, 1019, 1)
(6556, 40, 8, 1, 1716, 1386, 1)
(6569, 40, 15, 3, 684, 1605, 1)
(6577, 30, 8, 1, 463, 1186, 1)
(6585, 30, 12, 2, 736, 130, 1)
(6607, 30, 8, 3, 612, 1692, 1)
(6613, 40, 12, 3, 926, 1943, 1)
(6621, 24, 10, 2, 462, 1362, 1)
(6624, 40, 8, 1, 364, 369, 1)
(6625, 36, 15, 1, 830, 47, 1)
(6628, 24, 12, 1, 1890, 1439, 1)
(6629, 20, 10, 1, 850, 1019, 1)
(6631, 20, 12, 3, 955, 830, 1)
(6644, 30, 15, 2, 205, 1186, 1)
(6648, 20, 8, 3, 1182, 1190, 1)
(6662, 20, 8, 3, 1407, 283, 1)
(6675, 20, 8, 1, 1910, 153, 1)
(6677, 20, 12, 3, 1348, 130, 1)
(6682, 40, 10, 1, 631, 620, 1)
(6692, 40, 10, 1, 1335, 291, 1)
(6695, 24, 15, 2, 62, 364, 1)
(6698, 24, 8, 3, 1302, 631, 1)
(6714, 36, 15, 1, 717, 754, 1)
(6716, 36, 15, 1, 1909, 1856, 1)
(6723, 40, 8, 3, 1649, 1099, 1)
(6734, 40, 15, 1, 957, 899, 1)
(6736, 40, 15, 3, 157, 736, 1)
(6747, 20, 10, 2, 1605, 473, 1)
(6749, 40, 10, 3, 1943, 731, 1)
(6751, 24, 12, 2, 800, 174, 1)
(6762, 40, 15, 3, 130, 470, 1)
(6771, 20, 8, 1, 1531, 810, 1)
(6778, 36, 8, 2, 1838, 1412, 1)
(6785, 36, 10, 2, 108, 752, 1)
(6790, 20, 8, 2, 1670, 364, 1)
(6798, 30, 15, 3, 540, 850, 1)
(6803, 40, 10, 2, 1366, 1750, 1)
(6809, 24, 15, 1, 707, 62, 1)
(6817, 30, 12, 1, 810, 899, 0)
(6826, 36, 10, 3, 1099, 645, 1)
(6827, 20, 8, 1, 322, 620, 1)
(6830, 20, 8, 2, 1023, 470, 0)
